Domain,Area,Element,Item,Year,Value
"Credit to Agriculture","Guyana","Value US$","Total Credit","2021","897.582254"
"Credit to Agriculture","Honduras","Value US$","Total Credit","2021","16950.260208"
"Credit to Agriculture","Hungary","Value US$","Total Credit","2021","34224.301991"
"Credit to Agriculture","India","Value US$","Total Credit","2021","1523427.5819"
"Credit to Agriculture","Indonesia","Value US$","Total Credit","2021","402330.12485"
"Credit to Agriculture","Iraq","Value US$","Total Credit","2021","55597.035862"
"Credit to Agriculture","Ireland","Value US$","Total Credit","2021","83095.799615"
"Credit to Agriculture","Israel","Value US$","Total Credit","2021","511553.59363"
"Credit to Agriculture","Italy","Value US$","Total Credit","2021","878885.00687"
"Credit to Agriculture","Jamaica","Value US$","Total Credit","2021","6673.117561"
"Credit to Agriculture","Japan","Value US$","Total Credit","2021","4992233.5405"
"Credit to Agriculture","Jordan","Value US$","Total Credit","2021","42293.661972"
"Credit to Agriculture","Kazakhstan","Value US$","Total Credit","2021","43431.100144"
"Credit to Agriculture","Kenya","Value US$","Total Credit","2021","27848.008902"
"Credit to Agriculture","Kyrgyzstan","Value US$","Total Credit","2021","2147.702484"
"Credit to Agriculture","Lebanon","Value US$","Total Credit","2021","8900.867192"
"Credit to Agriculture","Lesotho","Value US$","Total Credit","2021","140.243053"
"Credit to Agriculture","Liberia","Value US$","Total Credit","2021","66141.66"
"Credit to Agriculture","Malawi","Value US$","Total Credit","2021","998.631401"
"Credit to Agriculture","Malaysia","Value US$","Total Credit","2021","462295.93986"
"Credit to Agriculture","Maldives","Value US$","Total Credit","2021","1807.695395"
"Credit to Agriculture","Mali","Value US$","Total Credit","2021","6899.026384"
"Credit to Agriculture","Mexico","Value US$","Total Credit","2021","269295.06127"
"Credit to Agriculture","Montserrat","Value US$","Total Credit","2021","39.037037"
"Credit to Agriculture","Morocco","Value US$","Total Credit","2021","109573.58753"
"Credit to Agriculture","Mozambique","Value US$","Total Credit","2021","3770.215453"
"Credit to Agriculture","Namibia","Value US$","Total Credit","2021","7151.12405"
"Credit to Agriculture","Nepal","Value US$","Total Credit","2021","35322.150167"
"Credit to Agriculture","Netherlands (Kingdom of the)","Value US$","Total Credit","2021","338024.87067"
"Credit to Agriculture","New Zealand","Value US$","Total Credit","2021","618734.61593"
"Credit to Agriculture","Nicaragua","Value US$","Total Credit","2021","3719.520936"
"Credit to Agriculture","Niger","Value US$","Total Credit","2021","1613.529271"
"Credit to Agriculture","Nigeria","Value US$","Total Credit","2021","59662.588736"
"Credit to Agriculture","Oman","Value US$","Total Credit","2021","59719.864759"
"Credit to Agriculture","Pakistan","Value US$","Total Credit","2021","40346.17345"
"Credit to Agriculture","Panama","Value US$","Total Credit","2021","52412.127265"
"Credit to Agriculture","Papua New Guinea","Value US$","Total Credit","2021","2890.67109"
"Credit to Agriculture","Philippines","Value US$","Total Credit","2021","184933.89877"
"Credit to Agriculture","Republic of Korea","Value US$","Total Credit","2021","1381830.7618"
"Credit to Agriculture","Republic of Moldova","Value US$","Total Credit","2021","3187.645612"
"Credit to Agriculture","Russian Federation","Value US$","Total Credit","2021","577254.98715"
"Credit to Agriculture","Rwanda","Value US$","Total Credit","2021","2606.321275"
"Credit to Agriculture","Saint Kitts and Nevis","Value US$","Total Credit","2021","784.781481"
"Credit to Agriculture","Saint Lucia","Value US$","Total Credit","2021","1317.237037"
"Credit to Agriculture","Saint Vincent and the Grenadines","Value US$","Total Credit","2021","461.866667"
"Credit to Agriculture","Senegal","Value US$","Total Credit","2021","6882.21241"
"Credit to Agriculture","Serbia","Value US$","Total Credit","2021","15761.396255"
"Credit to Agriculture","Seychelles","Value US$","Total Credit","2021","563.346237"
"Credit to Agriculture","Singapore","Value US$","Total Credit","2021","607330.14261"
"Credit to Agriculture","Slovakia","Value US$","Total Credit","2021","24119.379913"
"Credit to Agriculture","Spain","Value US$","Total Credit","2021","675460.73656"
"Credit to Agriculture","Sri Lanka","Value US$","Total Credit","2021","36349.16591"
"Credit to Agriculture","Sudan","Value US$","Total Credit","2021","4744.46868"
"Credit to Agriculture","Suriname","Value US$","Total Credit","2021","401.710876"
"Credit to Agriculture","Switzerland","Value US$","Total Credit","2021","1424079.1118"
"Credit to Agriculture","Tajikistan","Value US$","Total Credit","2021","138.213045"
"Credit to Agriculture","Thailand","Value US$","Total Credit","2021","548755.95348"
"Credit to Agriculture","Timor-Leste","Value US$","Total Credit","2021","271.9"
"Credit to Agriculture","Togo","Value US$","Total Credit","2021","1600.485816"
"Credit to Agriculture","Trinidad and Tobago","Value US$","Total Credit","2021","4623.239077"
"Credit to Agriculture","Tunisia","Value US$","Total Credit","2021","27760.394994"
"Credit to Agriculture","Türkiye","Value US$","Total Credit","2021","418104.2972"
"Credit to Agriculture","Uganda","Value US$","Total Credit","2021","5275.670408"
"Credit to Agriculture","Ukraine","Value US$","Total Credit","2021","27571.602912"
"Credit to Agriculture","United Arab Emirates","Value US$","Total Credit","2021","440832.403"
"Credit to Agriculture","United Kingdom of Great Britain and Northern Ireland","Value US$","Total Credit","2021","723269.58387"
"Credit to Agriculture","United Republic of Tanzania","Value US$","Total Credit","2021","9510.057404"
"Credit to Agriculture","United States of America","Value US$","Total Credit","2021","10521811"
"Credit to Agriculture","Uruguay","Value US$","Total Credit","2021","10806.85972"
"Credit to Agriculture","Vanuatu","Value US$","Total Credit","2021","560.38665"
"Credit to Agriculture","Viet Nam","Value US$","Total Credit","2021","450957.1758"
"Credit to Agriculture","Zambia","Value US$","Total Credit","2021","2231.889532"
"Credit to Agriculture","Zimbabwe","Value US$","Total Credit","2021","2076.970872"
